Product ID;Active (0/1);Name;Categories (x,y,z...);Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unit for the unit price;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature (Name:Value:Position:Customized);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Action when out of stock;ID / Name of shop;Advanced Stock Management;Depends on stock;Warehouse
54;1;JEAN;HOMME,OUTLET,OUTLET,OUTLET HOMME,Bas;165;;0.000000;;;;;;ACNJE30Y144G-NOIR;;;ACNE STUDIOS;;;0.000000;0.000000;0.000000;0.000000;0.000000;2;1;both;0.00;;;;;;Jean Noir - ACNE;;;jean;;;1;0000-00-00;2015-08-26;1;http://www.le66.fr/9504/jean.jpg,http://www.le66.fr/9505/jean.jpg,http://www.le66.fr/9506/jean.jpg;0;Couleur:NOIR:1:1,Collection:PH15:2:1,Genre:Homme:3:1;;new;;;;2;1;;;
83;1;PULL DESTROY;HOMME,OUTLET,OUTLET,OUTLET HOMME,Pulls & Vestes;1666.67;;0.000000;;;;;;ADDMAAP4864G-KAKI;;;ADIDAS ORIGINALS;;;0.000000;0.000000;0.000000;0.000000;0.000000;2;1;both;0.00;;;;;;Pull destroy Vert - Maille - ADIDAS;;;pull-destroy;;;1;0000-00-00;2015-08-26;1;http://www.le66.fr/15740/pull-destroy.jpg,http://www.le66.fr/15741/pull-destroy.jpg,http://www.le66.fr/15742/pull-destroy.jpg,http://www.le66.fr/15743/pull-destroy.jpg;0;Couleur:VERT:1:1,Collection:H15:2:1,Genre:Homme:3:1;;new;;;;2;1;;;
84;1;JOGGING LOOSE;HOMME,OUTLET,OUTLET,OUTLET HOMME,Bas;375;;0.000000;;;;;;ADDPAAP4768G-MARR;;;ADIDAS ORIGINALS;;;0.000000;0.000000;0.000000;0.000000;0.000000;3;1;both;0.00;;;;;;Jogging loose Marron - Joggings - ADIDAS;;;jogging-loose;;;1;0000-00-00;2015-08-26;1;http://www.le66.fr/15009/jogging-loose.jpg,http://www.le66.fr/15010/jogging-loose.jpg,http://www.le66.fr/15011/jogging-loose.jpg,http://www.le66.fr/15012/jogging-loose.jpg,http://www.le66.fr/15013/jogging-loose.jpg,http://www.le66.fr/15014/jogging-loose.jpg;0;Couleur:MARRON:1:1,Collection:H15:2:1,Genre:Homme:3:1;;new;;;;2;1;;;
85;1;JOGGING SLIM;HOMME,OUTLET,OUTLET,OUTLET HOMME,Bas;366.67;;0.000000;;;;;;ADDPAAP4769G-COGN;;;ADIDAS ORIGINALS;;;0.000000;0.000000;0.000000;0.000000;0.000000;1;1;both;0.00;;;;;;Jogging slim Marron - Joggings - ADIDAS;;;jogging-slim;;;1;0000-00-00;2015-08-26;1;http://www.le66.fr/15015/jogging-slim.jpg,http://www.le66.fr/15016/jogging-slim.jpg,http://www.le66.fr/15017/jogging-slim.jpg,http://www.le66.fr/15018/jogging-slim.jpg,http://www.le66.fr/15019/jogging-slim.jpg,http://www.le66.fr/15020/jogging-slim.jpg;0;Couleur:MARRON:1:1,Collection:H15:2:1,Genre:Homme:3:1;;new;;;;2;1;;;
86;1;BOMBER EN NYLON;HOMME,OUTLET,OUTLET,OUTLET HOMME,Pulls & Vestes;1333.33;;0.000000;;;;;;ADDPMAO4596G-NOIR;;;ADIDAS ORIGINALS;;;0.000000;0.000000;0.000000;0.000000;0.000000;2;1;both;0.00;;;;;;Nylon bomber Noir - Manteaux & blousons - ADIDAS;;;bomber-en-nylon;;;1;0000-00-00;2015-08-26;1;http://www.le66.fr/15021/bomber-en-nylon.jpg,http://www.le66.fr/15022/bomber-en-nylon.jpg,http://www.le66.fr/15023/bomber-en-nylon.jpg,http://www.le66.fr/15024/bomber-en-nylon.jpg,http://www.le66.fr/15025/bomber-en-nylon.jpg;0;Couleur:NOIR:1:1,Collection:H15:2:1,Genre:Homme:3:1;;new;;;;2;1;;;
87;1;TRENCH CAMO;HOMME,OUTLET,OUTLET,OUTLET HOMME,Pulls & Vestes;1833.33;;0.000000;;;;;;ADDPMAO4600G-ASSO;;;ADIDAS ORIGINALS;;;0.000000;0.000000;0.000000;0.000000;0.000000;1;1;both;0.00;;;;;;Trench camo Multicolor - Manteaux & blousons - ADIDAS;;;trench-camo;;;1;0000-00-00;2015-08-26;1;http://www.le66.fr/15026/trench-camo.jpg,http://www.le66.fr/15027/trench-camo.jpg,http://www.le66.fr/15028/trench-camo.jpg,http://www.le66.fr/15029/trench-camo.jpg,http://www.le66.fr/15030/trench-camo.jpg;0;Couleur:MULTICOLOR:1:1,Collection:H15:2:1,Genre:Homme:3:1;;new;;;;2;1;;;
89;1;SWEAT OVERSIZE MANCHE 3/4;HOMME,OUTLET,OUTLET,OUTLET HOMME,Pulls & Vestes;375;;0.000000;;;;;;ADDSWAP4891G-MARR;;;ADIDAS ORIGINALS;;;0.000000;0.000000;0.000000;0.000000;0.000000;2;1;both;0.00;;;;;;Sweat oversize manche 3/4 Marron - Sweats - ADIDAS;;;sweat-oversize-manche-3-4;;;1;0000-00-00;2015-08-26;1;http://www.le66.fr/15068/sweat-oversize-manche-3-4.jpg,http://www.le66.fr/15070/sweat-oversize-manche-3-4.jpg,http://www.le66.fr/15069/sweat-oversize-manche-3-4.jpg,http://www.le66.fr/15071/sweat-oversize-manche-3-4.jpg;0;Couleur:MARRON:1:1,Collection:H15:2:1,Genre:Homme:3:1;;new;;;;2;1;;;
90;1;SWEAT BASIQUE OVERSIZE;HOMME,OUTLET,OUTLET,OUTLET HOMME,Pulls & Vestes;316.67;;0.000000;;;;;;ADDSWAP4898G-MARR;;;ADIDAS ORIGINALS;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;;;Basique sweat oversize Marron - Sweats - ADIDAS;;;sweat-basique-oversize;;;1;0000-00-00;2015-08-26;1;http://www.le66.fr/15451/sweat-basique-oversize.jpg,http://www.le66.fr/15453/sweat-basique-oversize.jpg,http://www.le66.fr/15452/sweat-basique-oversize.jpg,http://www.le66.fr/15066/sweat-basique-oversize.jpg,http://www.le66.fr/15067/sweat-basique-oversize.jpg;0;Couleur:MARRON:1:1,Collection:H15:2:1,Genre:Homme:3:1;;new;;;;2;1;;;
162;1;PETIT NEW STANDARD JEAN 5 POCHES;HOMME,Denim,Jeans droits,A.P.C.;129.17;;0.000000;;;;;;APCCOZZKM09G-INDI;;;A.P.C.;;;0.000000;0.000000;0.000000;0.000000;0.000000;6;1;both;0.00;;;;;;Petit new standard jean 5 poches Violet - APC;;;petit-new-standard-jean-5-poches;;;1;0000-00-00;2015-08-26;1;http://www.le66.fr/12461/petit-new-standard-jean-5-poches.jpg,http://www.le66.fr/12462/petit-new-standard-jean-5-poches.jpg,http://www.le66.fr/12463/petit-new-standard-jean-5-poches.jpg,http://www.le66.fr/12464/petit-new-standard-jean-5-poches.jpg,http://www.le66.fr/12465/petit-new-standard-jean-5-poches.jpg,http://www.le66.fr/12466/petit-new-standard-jean-5-poches.jpg;0;Couleur:VIOLET:1:1,Collection:H15:2:1,Genre:Homme:3:1;;new;;;;2;1;;;
736;1;CHEMISE DESTRUCTUREE;HOMME,GOLDEN GOOSE DELUXE BRAND,OUTLET,OUTLET,OUTLET HOMME,Chemises;233.33;;0.000000;;;;;;GGECH27U521G-BLEU;;;GOLDEN GOOSE DELUXE BRAND;;;0.000000;0.000000;0.000000;0.000000;0.000000;1;1;both;0.00;;;;;;Chemise destructuree Bleu - GOLDEN GOOSE;;;chemise-destructuree;;;1;0000-00-00;2015-08-26;1;http://www.le66.fr/4585/chemise-destructuree.jpg,http://www.le66.fr/4586/chemise-destructuree.jpg,http://www.le66.fr/4592/chemise-destructuree.jpg,http://www.le66.fr/4598/chemise-destructuree.jpg,http://www.le66.fr/4604/chemise-destructuree.jpg;0;Couleur:BLEU:1:1,Collection:H15:2:1,Genre:Homme:3:1;;new;;;;2;1;;;
